continent,country,city,airport_name,airport_code
North America,USA,Gillette-Campbell County,Gillette-Campbell County,GCC
North America,USA,Glacier Park,Glacier Park,FCA
North America,USA,Gogebic Iron County,Gogebic Iron County,IWD
North America,USA,Golovin,Golovin,GLV
North America,USA,Grand Canyon Park,Grand Canyon Park,GCN
North America,USA,Grand Canyon West,Grand Canyon West,GCW
North America,USA,Grand Forks,Grand Forks,GFK
North America,USA,Grand Junction Regional,Grand Junction Regional,GJT
North America,USA,Grant County,Grant County,SVC
North America,USA,Grayling,Grayling,KGX
North America,USA,Great Falls,Great Falls,GTF
North America,USA,Greater Binghamton Edwin A Link Fld,Greater Binghamton Edwin A Link Fld,BGM
North America,USA,Greater Rochester,Greater Rochester,ROC
North America,USA,Greenbrier Valley,Greenbrier Valley,LWB
North America,USA,Greenville-Spartanburg,Greenville-Spartanburg,GSP
North America,USA,Gulfport-Biloxi,Gulfport-Biloxi,GPT
North America,USA,Gunnison - Crested Butte,Gunnison - Crested Butte,GUC
North America,USA,Gustavus,Gustavus,GST
North America,USA,Hagerstown Regional Richard A Henson Field,Hagerstown Regional Richard A Henson Field,HGR
North America,USA,Haines,Haines,HNS
North America,USA,Hana,Hana,HNM
North America,USA,Hancock County - Bar Harbor,Hancock County - Bar Harbor,BHB
North America,USA,Hardy-Anders,Hardy-Anders,HEZ
North America,USA,Harrisburg,Harrisburg,MDT
North America,USA,Harrison Marion Regional,Harrison Marion Regional,CKB
North America,USA,Harry Reid,Harry Reid,LAS
North America,USA,Hartsfield–Jackson Atlanta,Hartsfield–Jackson Atlanta,ATL
North America,USA,Havre City Co,Havre City Co,HVR
North America,USA,Hays Regional,Hays Regional,HYS
North America,USA,Healy River,Healy River,HKB
North America,USA,Hector,Hector,FAR
North America,USA,Helena Rgnl,Helena Rgnl,HLN
North America,USA,Hilo,Hilo,ITO
North America,USA,Hilton Head,Hilton Head,HHH
North America,USA,Hollis,Hollis,HYL
North America,USA,Holy Cross,Holy Cross,HCR
North America,USA,Homer,Homer,HOM
North America,USA,Honolulu,Honolulu,HNL
North America,USA,Hoolehua,Hoolehua,MKK
North America,USA,Hoonah,Hoonah,HNH
North America,USA,Hooper Bay,Hooper Bay,HPB
North America,USA,Houghton County Memorial,Houghton County Memorial,CMX
North America,USA,Hughes,Hughes,HUS
North America,USA,Huntsville -Carl T Jones Field,Huntsville -Carl T Jones Field,HSV
North America,USA,Huslia,Huslia,HSL
North America,USA,Hydaburg Sea Plane Base,Hydaburg Sea Plane Base,HYG
North America,USA,Idaho Falls Rgnl,Idaho Falls Rgnl,IDA
North America,USA,Iliamna,Iliamna,ILI
North America,USA,Imperial Co,Imperial Co,IPL
North America,USA,Indianapolis,Indianapolis,IND
North America,USA,Ithaca Tompkins Regional,Ithaca Tompkins Regional,ITH
North America,USA,Jack Edwards,Jack Edwards,GUF
North America,USA,Jack Northrop Fld Hawthorne Muni,Jack Northrop Fld Hawthorne Muni,HHR
North America,USA,Jackson,Jackson,JAN
